,idx,ex_num,bar_num,g_num,RE,true
1,8,2,8,8,0,2
2,7,2,3,2,0,3
3,18,2,6,3,0.0,1
4,9,2,5,5,0,0
5,20,2,9,7,0,2
6,16,2,5,1,239.375,2
7,14,2,4,2,0,3
8,1,2,8,8,0,0
9,4,2,3,2,0,3
10,10,2,10,6,0.5,0
11,15,2,4,3,0,2
12,5,2,6,5,0.0,2
13,11,2,9,7,0,2
14,13,2,8,4,1.0,1
15,17,2,8,4,0,1
16,6,2,7,1,175.86111111111097,1
17,12,2,9,8,0,2
18,19,2,7,4,0,2
19,3,2,10,8,0,2
20,2,2,8,3,6.0,0
